,record_id,td_1,td_2,td_3,td_4,td_5,td_6,td_7,td_8,td_9,td_10,td_11,td_12,td_13,td_14,td_15,td_16,td_17,td_18,td_19,td_20,td_21,td_22,td_23,td_24,td_25,td_26,td_27,td_28,td_29,td_30,td_31,td_32,td_33,td_34,td_35,td_36,td_37,td_38,td_39,td_40,td_41,td_42,td_43,td_44,td_45,td_46,td_47,td_48
31,4056,7,22,68,1,7,5,92,5,7,89,86,60,17,10,46,5,61,11,91,22,46,6,46,49,7,5,42,54,78,54,11,0,46,92,61,62,85,61,8,6,8,68,65,15,70,51,22,11
32,4241,235,215,15,214,214,206,63,220,214,66,57,207,218,204,2,206,8,227,60,215,235,204,2,213,201,220,206,215,209,215,204,204,0,33,8,10,50,8,221,204,235,10,9,213,9,216,215,219
33,4421,222,244,246,230,230,265,188,245,230,248,215,253,262,239,237,265,227,258,248,244,272,239,237,254,256,253,246,237,248,237,259,239,237,0,227,243,236,227,260,239,222,246,250,259,260,210,244,263
34,4592,229,220,20,218,218,214,42,228,218,50,56,201,223,216,13,214,1,229,56,220,240,216,13,220,206,215,220,202,212,202,214,216,13,30,0,4,45,3,218,216,229,5,13,222,16,206,220,222
35,4597,169,164,37,203,203,208,36,226,203,41,47,166,198,184,38,208,39,175,51,164,222,184,38,224,209,184,212,45,147,45,211,184,38,70,39,0,53,39,176,184,169,27,34,220,30,36,164,196
36,4826,466,508,398,465,465,480,449,466,465,485,434,409,457,466,503,480,456,466,509,508,445,466,503,21,487,487,457,490,449,490,473,466,503,468,456,478,0,456,485,466,466,513,479,451,476,502,508,466
37,4842,230,217,16,217,217,210,39,225,217,44,54,204,220,205,11,210,2,228,55,217,237,205,11,221,204,218,213,205,210,205,210,205,11,28,2,3,46,0,217,205,230,6,10,217,14,209,217,220
38,4924,80,91,113,73,73,89,143,76,73,150,122,108,111,81,118,89,119,82,145,91,103,81,118,114,70,95,108,96,125,96,80,81,118,124,119,114,127,119,0,81,80,117,104,82,105,94,91,59
39,4990,11,26,71,5,13,3,89,6,13,90,87,56,11,4,49,2,62,12,95,26,51,5,49,46,11,10,44,55,72,55,9,3,49,94,62,64,81,62,6,0,7,73,66,14,68,52,26,9
40,5034,9,24,62,9,9,9,82,10,9,83,81,51,18,8,44,9,53,8,87,24,50,1,44,44,9,9,38,51,68,51,2,8,44,89,53,58,74,53,3,8,0,66,62,11,64,48,24,2
41,5147,188,224,29,222,222,218,31,234,222,37,34,38,225,210,21,218,28,214,263,224,247,210,21,234,214,201,217,36,56,36,220,210,21,67,28,7,42,28,210,210,188,0,17,228,21,31,224,205
42,5332,239,202,8,195,195,185,72,189,195,72,67,211,192,196,9,185,17,185,69,202,213,196,9,204,185,224,193,209,182,209,192,196,9,40,17,24,57,17,194,196,239,19,0,205,3,220,202,185
43,5386,99,105,107,94,94,94,112,97,94,119,118,84,95,101,77,94,46,92,134,105,119,101,77,33,96,99,23,82,118,82,94,101,77,119,46,102,35,46,92,101,99,107,84,0,94,92,105,78
44,5492,117,127,11,114,114,135,70,117,114,68,65,149,126,118,12,135,14,125,67,127,155,118,12,161,122,115,145,150,144,150,117,118,12,37,14,23,56,14,130,118,117,17,7,126,0,141,127,121
45,5655,522,528,559,526,526,518,547,496,526,2,515,489,565,534,515,518,488,542,557,528,553,534,515,528,547,528,522,525,550,525,528,534,515,509,488,518,518,488,458,534,522,508,520,524,551,0,528,505
46,5746,74,7,147,52,52,63,165,57,52,182,168,126,70,71,160,63,180,64,176,7,37,71,160,100,85,53,102,127,127,127,70,71,160,170,180,165,174,180,64,71,74,172,159,94,165,112,0,92
47,5791,276,289,266,279,279,284,258,307,279,220,256,261,265,261,272,284,259,277,300,289,307,261,272,273,297,260,272,262,262,262,276,261,272,279,259,253,282,259,294,261,276,258,275,271,272,261,289,0
