,record_id,NB + TF-IDF,Log + TF-IDF,RF + TF-IDF,SVM + TF-IDF,Log + Doc2Vec,RF + Doc2Vec,SVM + Doc2Vec,Log + SBERT,RF + SBERT,SVM + SBERT,mean,mad
2,466,243,167,588,444,302,353,336,422,449,837,414.1,134.91680188400977
17,2312,1337,927,1554,1006,2708,3286,3119,793,412,881,1602.3,806.5356068670475
25,3230,185,428,959,402,155,170,271,459,514,148,369.1,194.22089062423385
35,4826,460,565,689,530,115,110,239,467,563,165,390.3,145.295017413549
44,5655,493,502,473,258,787,483,898,9,297,20,422.0,275.76401264204196
