,file_name,recall_0.1,recall_0.25,recall_0.5,recall_0.75,recall_0.9,wss_0.95,erf_0.1,atd
0,metrics_sim_Radjenovic_2013_ndup_nnan_logistic_doc2vec_0.json,0.9148936170212766,0.9787234042553191,1.0,1.0,1.0,0.8242649543764785,0.8085106382978723,336.531914893617
1,metrics_sim_Radjenovic_2013_ndup_nnan_logistic_sbert_0.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8543426833389659,0.8723404255319149,158.08510638297872
2,metrics_sim_Radjenovic_2013_ndup_nnan_logistic_tfidf_0.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8533288273065225,0.8723404255319149,156.25531914893617
3,metrics_sim_Radjenovic_2013_ndup_nnan_nb_tfidf_0.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8632984116255492,0.8723404255319149,165.27659574468086
4,metrics_sim_Radjenovic_2013_ndup_nnan_rf_doc2vec_0.json,0.9787234042553191,0.9787234042553191,0.9787234042553191,1.0,1.0,0.8440351470091247,0.8723404255319149,286.17021276595744
5,metrics_sim_Radjenovic_2013_ndup_nnan_rf_sbert_0.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8497803311929706,0.8723404255319149,141.3404255319149
6,metrics_sim_Radjenovic_2013_ndup_nnan_rf_tfidf_0.json,0.8936170212765957,0.9787234042553191,1.0,1.0,1.0,0.8110848259547144,0.7872340425531915,271.3404255319149
7,metrics_sim_Radjenovic_2013_ndup_nnan_svm_doc2vec_0.json,0.8297872340425532,0.9787234042553191,0.9787234042553191,1.0,1.0,0.8036498817167962,0.723404255319149,396.97872340425533
8,metrics_sim_Radjenovic_2013_ndup_nnan_svm_sbert_0.json,0.9361702127659575,1.0,1.0,1.0,1.0,0.8646502196688071,0.8297872340425532,168.27659574468086
9,metrics_sim_Radjenovic_2013_ndup_nnan_svm_tfidf_0.json,0.9787234042553191,1.0,1.0,1.0,1.0,0.8506252112200068,0.8723404255319149,164.14893617021278
